Vi (V),Is (mA),Iz (mA),Vo (V)
0,0,0,0.01
0.6,0,0,0.4
1,0.12,0,0.69
1.6,0.23,0,1.02
2.1,0.35,0,1.31
2.4,0.46,0,1.52
3,0.12,0,1.85
3.5,0.23,0,2.16
3.9,0.58,0,2.43
4.5,0.69,0,2.77
5,0.81,0.00002,3.09
5.4,0.93,0.00008,3.31
6,1.05,0.00023,3.68
6.5,1.18,0.0004,3.92
7,1.27,0.00083,4.23
7.5,1.39,0.00161,4.57
8,1.51,0.00337,4.87
8.5,1.63,0.00637,5.16
8.9,1.74,0.01132,5.4
9.5,1.86,0.01666,5.71
10,1.98,0.0377,6.05
10.5,0.58,0.05,6.35
11,2.11,0.1,6.5
11.5,2.3,0.3,6.53
11.9,2.5,0.5,6.57
12.5,2.74,0.7,6.55
13,3.01,1,6.56
13.6,3.24,1.3,6.57
13.9,3.41,1.4,6.57
14.5,3.67,1.7,6.57
15,3.89,1.9,6.58
